-5,1991
-4,3239
-3,7284
-3,2661
-2,9082
-2,6225
-2,3954
-2,2098
-2,0282
-1,8916
-1,7967
-1,6635
-1,5819
-1,5127
-1,3977
-1,3814
-1,2792
-1,2786
-1,2207
-1,1791
-1,093
-1,0193
-1,0264
-0,9742
-0,9384
-0,8979
-0,811
-0,8056
-0,7548
-0,7416
-0,7049
-0,6784
-0,6445
-0,6134
-0,5789
-0,5578
-0,5278
-0,4917
-0,5137
-0,4717
-0,4697
-0,4589
-0,4215
-0,425
-0,3984
-0,33
-0,3724
-0,3815
-0,3639
-0,3482
-0,3021
-0,2574
-0,3142
-0,2815
-0,2804
-0,2677
-0,2675
-0,2496
-0,264
-0,254
-0,2542
-0,2585
-0,2511
-0,2669
-0,2648
-0,2188
-0,214
-0,2618
-0,2001
-0,1932
-0,2392
-0,2704
-0,2118
-0,1886
-0,1723
-0,2191
-0,1872
-0,2118
-0,2002
-0,2
-0,1592
-0,1482
-0,1329
-0,1624
-0,1445
-0,1237
-0,1208
-0,1096
-0,1052
-0,0974
-0,079
-0,0793
-0,0683
-0,0739
-0,0864
-0,0733
-0,0097
-0,0244
-0,0688
-0,0124
-0,0183
-0,0508
0,0169
0,0091
